sentence,label
Hey home brainy expert,hello sign
Hey home got news,hello sign
Can you locate the projector stand,pointing
Where is the coffee thermos,pointing
Hi tech butler please,hello sign
Hey tech guide listen,hello sign
Hi tech butler hey,hello sign
Have you seen the phone charging station,pointing
Spot on doors lock,good sign
Have you seen the gardening tools,pointing
Super smart vacuum d,good sign
Where did I leave my glasses,pointing
Is the freezer drawer closed,pointing
Good evening buddy hey,hello sign
Is the bathtub cleaned,pointing
Hi assistant let's gooo,hello sign
Find the water filter for the fridge,pointing
Excellent vacuum just started,good sign
Morning smart mentor hi,hello sign
Yay for doors all secured,good sign
Do you know where the umbrella is,pointing
Hey home assistant sleepy,hello sign
Cool and cozy therm,good sign
Is the towel in the bathroom warm,pointing
Well done AC on now,good sign
Greetings and salutations,hello sign
Was the dining room nightlight burned out,pointing
Way to go vacuum c,good sign
Hey cool device,hello sign
Hi assistant time beginn,hello sign
Hey assistant let's begin,hello sign
Good day buddy hi,hello sign
Was the garage lightbulb burned out,pointing
Nice one vacuum in run,good sign
Can you locate the fan direction remote,pointing
Hello you there now,hello sign
Awesome doors all secured,good sign
Fabulous vacuum d,good sign
Good job vacuum works,good sign
Hi tech buddy sleepy,hello sign
Good day tech genius,hello sign
Morning assistant here we,hello sign
Hello home tech wizard,hello sign
Hello assistant tech guruu,hello sign
Super happy lights,good sign
Hello tech assistant yes,hello sign
Hi assistant I'm curious,hello sign
Satisfaction doors l,good sign
Hi assistant let's goo,hello sign
Morning smart friend now,hello sign
Hi tech guide are,hello sign
Cool and cozy AC cool,good sign
Smart call lights off now,good sign
Where did I leave the coffee syrup dispenser,pointing
Hello home digital wizard,hello sign
Hi buddy what's newd,hello sign
Kudos lights off done right,good sign
Hi assistant I'm curio,hello sign
Have you seen the extension cord,pointing
Good day tech assista,hello sign
Great pick vacuum just activated,good sign
Hello home tech expert,hello sign
Cool move vacuum on,good sign
Kudos to AC coolin,good sign
Just right vacuum ru,good sign
Hi assistant wake now,hello sign
Amazing work vacuum,good sign
Nice work AC is co,good sign
Excellent AC is on,good sign
Was the attic light on last weekend,pointing
Just right vacuum started,good sign
Hello tech butler yes,hello sign
Can you guide me to the emergency exit,pointing
Is the towel warmer on,pointing
Good night smart expert,hello sign
Was the hallway cupboard light on,pointing
Morning buddy tech mode,hello sign
Have you seen the remote,pointing
Hey assistant time respo,hello sign
Hello home tech buddy,hello sign
Way to go vacuum cleaning,good sign
Hey assistant time shin,hello sign
Good day digital wizard,hello sign
Hey assistant let's plan,hello sign
Have you seen the extension reel case,pointing
Have you seen the dog leash hook,pointing
Yay for AC is cool,good sign
Brilliant AC is cool,good sign
Have you seen the lawn mower,pointing
Have you seen the extension strip,pointing
Excellent vacuum cle,good sign
Hi assistant I'm awake,hello sign
Smart call AC is cool,good sign
Amazing work doo,good sign
Nice touch vacuum run,good sign
Have the keys been moved,pointing
Good evening assistant hi,hello sign
Hello smart helper now,hello sign
Smart call doors loc,good sign
Where did I put the coffee filter paper,pointing
Was the patio table moved,pointing
Hi buddy greetings ther,hello sign
Can you guide me to the fuse box,pointing
Have you seen the dog food bag,pointing
Cool move vacuum do,good sign
Hi buddy what's cook,hello sign
Hi assistant need help,hello sign
Good job lights off success,good sign
Amazing work lights off,good sign
Morning buddy let's chat,hello sign
Sweet deal lights are off,good sign
Have you seen my hiking boots,pointing
Hey there tech expert,hello sign
Hey techie you awake,hello sign
Hello home sweet home,hello sign
Happy with vacuum do,good sign
Love this AC on low,good sign
Morning assistant tech mode,hello sign
Where are the light bulbs,pointing
Hi assistant time shine,hello sign
Good job vacuum c,good sign
Is my laptop in the living room,pointing
Super smooth lights off,good sign
Right on lights off AC on,good sign
Morning tech helper yes,hello sign
Nice work vacuum just now,good sign
Good afternoon assistant yes,hello sign
Is the kitchen coffee machine on,pointing
Hi assistant here Iy,hello sign
Where is the fan filter battery,pointing
Where is the iron stand,pointing
Hello assistant time workk,hello sign
Hi tech savior hi,hello sign
Hello brainy device hi,hello sign
Was the bedroom bathroom mirror clean,pointing
Can you locate the projector lens cap,pointing
Nice one vacuum cl,good sign
Well done AC cooling,good sign
Good evening home yes,hello sign
Hello digital guide hi,hello sign
Exactly what I wanted,good sign
Perfect vacuum run n,good sign
Good evening digital wizard,hello sign
Yo you listening,hello sign
Where is the iron storage rack,pointing
Have you seen the extension cord reel,pointing
Is the kitchen range hood clean,pointing
Great work vacuum active,good sign
Hi assistant here I,hello sign
Hello digital friend hi,hello sign
Great work kitchen lights out,good sign
Good job doors secure,good sign
Where is the humidifier water tank,pointing
Well done lights off,good sign
Just right lights off,good sign
Fabulous vacuum on now,good sign
Have you seen the dog chew toy,pointing
Good call vacuum d,good sign
Fabulous thermostat set back,good sign
Which room is the thermostat in,pointing
Nice work doors lock,good sign
Can you guide me to the emergency drill kit,pointing
Cool vacuum is working,good sign
Morning cool assistant yes,hello sign
Is the nightlight on in the attic,pointing
Smart call vacuum,good sign
Where is the ironing board,pointing
Hello buddy sleepy now,hello sign
Can you help me find the key to the attic,pointing
Excellent thermostat set,good sign
Hi buddy time wake,hello sign
Is the bathroom cabinet light on,pointing
Hi digital assistant now,hello sign
Super happy vacuum active,good sign
Have you seen the dog treat jar,pointing
Where did I put the tool case,pointing
Hello home digital friend,hello sign
Was the dining room nightlight dim,pointing
Sweet AC is cooling perfectly,good sign
Hi assistant I'm ready,hello sign
Check the pantry for snacks,pointing
Happy with doors l,good sign
Super smooth vacuum,good sign
Morning smart butler yes,hello sign
Where’s the coffee machine,pointing
Great call lights off,good sign
Was the oven light left on,pointing
Check if the printer has paper,pointing
Is the bathroom cabinet drawer messy,pointing
Was the bedroom door opened,pointing
Hi home tech helper,hello sign
Can you locate the kitchen light switch,pointing
Good evening smart device,hello sign
Can you locate the projector mount,pointing
Where did I leave the coffee grinder burrs,pointing
Hi assistant I'm here,hello sign
Morning digital genius yes,hello sign
Was the basement light left on,pointing
Excellent vacuum clean,good sign
Where did I leave the coffee grinder blade,pointing
Brilliant vacuum running,good sign
Good call for AC 66,good sign
Super smart lights off,good sign
Hi tech buddy hello,hello sign
Good day tech expert,hello sign
Hey assistant sleepy today,hello sign
Happy with thermostat set,good sign
Hey buddy let's plan,hello sign
Rise and shine tech,hello sign
Was the patio heater turned off,pointing
Morning assistant here again,hello sign
Have you seen the paintbrush,pointing
Hi assistant what's happening,hello sign
Hello assistant tech mode,hello sign
Smart call lights o,good sign
Yay for vacuum do,good sign
Perfect doors are locked,good sign
Perfect timing door,good sign
Have you seen the phone case charger,pointing
Hi digital buddy hey,hello sign
Hi assistant what's up,hello sign
Hi assistant let's move,hello sign
Perfect kitchen lights out,good sign
Hey assistant answer please,hello sign
Awesome choice vacuum run,good sign
Where did I put the extra batteries,pointing
Hey home brainy friend,hello sign
Great call lights off success,good sign
Can you locate the projector stand mount,pointing
Just right thermostat set,good sign
Can you help me find the key fob,pointing
Was the bedroom window left open,pointing
Awesome choice AC on,good sign
Yay AC is cooling now,good sign
Fine by me AC is on,good sign
Great call vacuum cle,good sign
Is the bedroom nightlight working,pointing
Perfect match vacuum,good sign
Was the bedroom nightstand drawer open,pointing
Hey assistant sleepy again,hello sign
Hi buddy what's happe,hello sign
Have you seen the yoga mat,pointing
Hey buddy are listening,hello sign
Brilliant AC is on,good sign
Have you seen the keychain flashlight,pointing
Kudos to AC is on,good sign
Way to go AC running well,good sign
Hey home ready help,hello sign
Nice touch AC is chill,good sign
Have you seen the extension cord kit,pointing
Superb vacuum just now,good sign
Have you seen the dog water bowl,pointing
Fine by me vacuum on,good sign
Morning tech mentor hi,hello sign
Have you seen the extension reel,pointing
Good night tech genius,hello sign
Hello digital butler hi,hello sign
Spot on vacuum just began,good sign
Where did I leave the coffee beans,pointing
Hi home smart expert,hello sign
Perfect timing doors,good sign
Perfect AC is on now,good sign
Can you help me find the screwdriver,pointing
Great call lights off AC,good sign
Where is the ironing mat,pointing
Hi assistant I'm readyy,hello sign
Where did I leave the kitchen knife,pointing
Bravo doors locked up,good sign
Awesome choice doors locked,good sign
Perfect timing doors locked,good sign
Where’s the plant watering can,pointing
Hello home tech savior,hello sign
Hello digital mentor hi,hello sign
Where did I leave the coffee scoop,pointing
Where is the coffee travel sleeve,pointing
Hi buddy you busy,hello sign
Morning digital friend hi,hello sign
Just right AC is chilling,good sign
Hello assistant tech helper,hello sign
Hey home digital expert,hello sign
Morning buddy let's talk,hello sign
Have you seen the dog food container,pointing
Just what I want d,good sign
Is the garage open,pointing
Is the bedroom closet light on,pointing
Fine by me vacuum,good sign
Hi assistant ready now,hello sign
Well played AC set,good sign
Hello home tech helpe,hello sign
Was the bedroom lamp used all night,pointing
Hey digital buddy hey,hello sign
Bravo vacuum do,good sign
Hi assistant need quick,hello sign
Yay for lights off now,good sign
Perfect timing lights off,good sign
Have you seen the dog leash,pointing
Where’s my coffee mug,pointing
Hello home tech genius,hello sign
Fabulous living room lights off,good sign
Great work AC chill,good sign
Where is the coffee flask,pointing
Awesome vacuum doin,good sign
Where’s my favorite pen,pointing
Perfect match vacu,good sign
Did I leave the window in the basement unlocked,pointing
Was the garage thermostat adjusted,pointing
Can you locate the speaker,pointing
Hi assistant I'm curious,hello sign
Have you seen my jacket,pointing
Hello digital mentor yes,hello sign
Can you locate the screwdrivers,pointing
Where’s the laundry detergent,pointing
Hey home good morning,hello sign
Cool and cozy doo,good sign
Hey assistant respond fast,hello sign
Can you locate the power bank,pointing
Was the laundry room light on,pointing
Cool move doors se,good sign
Happy day smart buddy,hello sign
Perfect match doors secured,good sign
Can you locate the projector screen remote,pointing
Was the bathroom mirror wiped,pointing
Morning digital helper yes,hello sign
Can you locate the air conditioner remote,pointing
Good day tech helper,hello sign
Just what I wanted AC set,good sign
Hello tech marvel,hello sign
Hello assistant tech guru,hello sign
Hi assistant I'm bored,hello sign
Fine by me vacuum running,good sign
Have you seen the camping lantern charger,pointing
Hi tech mentor hey,hello sign
Where’s the garden hose,pointing
Can you help me find the HDMI cable,pointing
Have you seen the kitchen floor mop,pointing
Excellent back door secured,good sign
Excellent lights o,good sign
Hello assistant tech modeh,hello sign
Good night assistant let,hello sign
Right on thermostat adjusted,good sign
Awesome choice doors set,good sign
Yo assistant wake up,hello sign
Good night buddy sleep,hello sign
Cool and cozy AC,good sign
Do you know where my phone is,pointing
Good evening old friend,hello sign
Hi tech wizard hello,hello sign
Hey assistant time action,hello sign
Is the freezer drawer open,pointing
Hi tech expert sleepy,hello sign
Good day brainy helper,hello sign
Was the garage nightlight on,pointing
Can you guide me to the fire hose reel,pointing
Is the garage door remote missing,pointing
Was the dining room thermostat changed,pointing
Fine by me AC on,good sign
Awesome choice doors,good sign
Good call AC is on 68,good sign
Do you know where the pet bowl is,pointing
Just what I need AC,good sign
Hi assistant what's cool,hello sign
Have you seen the phone case,pointing
Hello assistant time wor,hello sign
Well played doors set,good sign
Smart call AC is on,good sign
Cool and cozy AC is on,good sign
Good day home assistant,hello sign
Perfect match thermostat set,good sign
Great work AC is o,good sign
Hey home tech buddy,hello sign
Have you seen the phone charger cable,pointing
Can you locate the soundbar battery case,pointing
Hi tech guide sleepy,hello sign
Was the patio light left on,pointing
Perfect vacuum clea,good sign
Hey home are you,hello sign
Can you locate the fan remote,pointing
Happy with thermostat,good sign
Super smooth lights out,good sign
Where is the air purifier,pointing
Is the bread in the breadbox,pointing
Super happy thermostat set,good sign
Where did I put the screwdriver set,pointing
Awesome thermostat set back,good sign
Have you seen the picnic blanket,pointing
Perfect match lights off,good sign
Hi assistant let's talk,hello sign
Superb doors secured well,good sign
Hey assistant please respond,hello sign
Hello home brainy wiz,hello sign
Yay AC is on schedule,good sign
Excellent living room lights out,good sign
Is the freezer door sealed,pointing
Morning tech helper hi,hello sign
Good evening master assistant,hello sign
Hey assistant respond noww,hello sign
Great work vacuum now,good sign
Fabulous doors locked,good sign
Awesome thermostat set,good sign
Hi tech helper hello,hello sign
Was the bedroom bathroom nightlight on,pointing
Hi buddy what's trending,hello sign
Excellent AC on low speed,good sign
Hey buddy greetings helloo,hello sign
Is the bathroom cabinet drawer open,pointing
Hi assistant time acty,hello sign
Hello home smart guru,hello sign
Hi assistant time shinee,hello sign
Good evening tech helpe,hello sign
Can you help me find the power outlet,pointing
Where are my running shoes,pointing
Right on AC cooling room,good sign
Perfect match vacuum active,good sign
Hello smart guide yes,hello sign
Morning tech expert hi,hello sign
Is the shower door open,pointing
Cool and cozy lights out,good sign
Good night tech wizard,hello sign
Hi assistant let's goo,hello sign
Where did I put the drill battery,pointing
Hi assistant sleepy againn,hello sign
Where are my favorite socks,pointing
Can you locate the humidifier,pointing
Happy with lights off doors,good sign
Good evening tech helper,hello sign
Excellent doors lo,good sign
Perfect thermostat do,good sign
Good day tech buddy,hello sign
Perfect home lights out,good sign
Just right AC is c,good sign
Good night tech genius,hello sign
Yay for vacuum on task,good sign
Excellent doors secured now,good sign
Great job vacuum started,good sign
Morning digital wizard now,hello sign
Where did I put the power adapter,pointing
Amazing work doors locked,good sign
Smart call vacuum on,good sign
Is the bedroom nightlight flickering,pointing
Morning smart advisor hi,hello sign
Can you locate the sound system remote,pointing
Morning assistant tech mode,hello sign
Was the rug moved,pointing
Hey buddy greetings assis,hello sign
Amazing work lights o,good sign
Fine by me lights o,good sign
Was the hallway light turned on,pointing
Fabulous AC cooling,good sign
Way to go vacuum run,good sign
Nice work doors locked up,good sign
Is the dishwasher running,pointing
Hello digital butler yes,hello sign
Hey home smart expert,hello sign
Morning tech genius hello,hello sign
Yay for AC on 72,good sign
Hi buddy let's plan,hello sign
Hey buddy greetings the,hello sign
Bravo AC is cooli,good sign
Is the garage freezer light on,pointing
Perfect AC on low speed,good sign
Good night assistant hi,hello sign
Hey assistant time talkk,hello sign
Happy with AC i,good sign
Have you seen the garden hoe,pointing
Is the fridge door partially open,pointing
Awesome thermostat d,good sign
Nice touch AC is cooling,good sign
Hi buddy let's movee,hello sign
Spot on front door locked,good sign
What drawer is the tape in,pointing
Hey home tech wonder,hello sign
Was the thermostat adjusted,pointing
Where did I put the coffee press,pointing
Hey there superstar,hello sign
Is there a power strip near me,pointing
Hello smart device time,hello sign
Morning smart butler hi,hello sign
Have you seen the camping sleeping bag,pointing
Can you guide me to the tool box,pointing
Kudos to smart vacuum,good sign
Happy with doors locked,good sign
Super smooth AC chills,good sign
Where did I put the thermostat remote,pointing
Was the office filing cabinet open,pointing
Is the kitchen sink filter clogged,pointing
Hello smart helper slee,hello sign
Was the hallway nightlight flashing,pointing
Good night buddy now,hello sign
Well done vacuum started,good sign
Morning assistant here now,hello sign
Hi assistant I'm excited,hello sign
Have you seen the candles,pointing
Super smooth doors set,good sign
Morning smart guide hi,hello sign
Was the bedroom bathroom cabinet drawer open,pointing
Hey assistant sleepy todayy,hello sign
Where did I leave the scissors,pointing
Good evening smart one,hello sign
Have you seen the extension cord adapter,pointing
Morning smart guide sleepy,hello sign
Hi assistant let's dise,hello sign
Amazing vacuum just started,good sign
Superb living room lights,good sign
Well done vacuum ru,good sign
Satisfaction doors set,good sign
Have you seen the Bluetooth speaker,pointing
Was the bedroom radiator valve changed,pointing
Super smart doors secure,good sign
Spot on lights off success,good sign
Have you seen the phone case battery,pointing
Where are my winter gloves,pointing
Morning tech mentor now,hello sign
Well played lights off,good sign
Happy with doors set,good sign
Hello brainy assistant hi,hello sign
Well played doors s,good sign
Where is the ironing board cover,pointing
Is the fridge leaking water,pointing
Hi tech guide now,hello sign
Can you locate the soundbar battery pack,pointing
Hello digital buddy hello,hello sign
Love this lights o,good sign
Satisfaction AC cooling now,good sign
Hey assistant I need,hello sign
Spot on vacuum active,good sign
Can you help me find the light bulb changer,pointing
Satisfaction thermostat set,good sign
Kudos doors all locked,good sign
Hi assistant ready work,hello sign
Great call vacuum running,good sign
Way to go lights out,good sign
Hi home smart guide,hello sign
Hi assistant what's newp,hello sign
Is the kitchen sink leaking,pointing
Have you seen the garage opener,pointing
Can you help me find my watch,pointing
Have you seen the extension lead,pointing
Morning smart mentor hi,hello sign
Have you seen the camping cooler,pointing
Spot on vacuum clean,good sign
Was the bedroom radiator on,pointing
Good day digital ment,hello sign
Was the bedroom blinds left open,pointing
Cool and cozy AC on,good sign
Super smooth doors locked,good sign
Just what I want AC,good sign
Was the bedroom radiator noisey,pointing
Hey buddy listen up,hello sign
Is the bathroom cabinet light flickering,pointing
Well done doors se,good sign
Fabulous lights out now,good sign
Fabulous living room setup,good sign
Hey buddy greetings tech,hello sign
Good evening tech geniu,hello sign
Where did I leave the coffee grind container,pointing
Kudos to AC is o,good sign
Hey buddy let's,hello sign
Have you seen the backpack,pointing
Can you locate the projector bulb remote,pointing
Hi assistant time act,hello sign
Excellent choice thermostat set,good sign
Where did I put the tool set,pointing
Where is the humidifier filter case,pointing
Awesome doors all set,good sign
